Variable_ID,Variable_Name,Variable_Description,Variable_Unit,Segment_ID
0,Unknown,Unknown,-,0
1001,PCB_T,PCB Temperature,C,1
1002,PCB_H,PCB Humidity,%,1
1010,STATUS,Status Register,-,1
1011,PUBLISH,Publish Register,-,1
1012,STOP,Stop Register,-,1
2011,B_IV,Battery Instant Voltage,V,2
2012,B_AV,Battery Average Voltage,V,2
2013,B_EV,Battery Empty Voltage,V,2
2014,B_RV,Battery Recover Voltage,V,2
2021,B_IC,Battery Instant Current,A,2
2022,B_AC,Battery Average Current,A,2
2031,B_SOC,Battery State of Charge,%,2
2032,B_SOCA,Battery Average State of Charge,%,2
2041,B_IC,Battery Instant Capacity,mAh,2
2042,B_DC,Battery Design Capacity,mAh,2
2043,B_FC,Battery Full Capacity,mAh,2
2051,B_T,Battery Temperature,C,2
2061,B_TTE,Battery Time to Empty,Min,2
2062,B_TTF,Battery Time to Full,Min,2
2071,B_CC,Battery Cycle Count,-,2
2072,B_Age,Battery Age,Day,2
2081,B_H,Battery Health,%,2
2090,B_CS,Battery Charge Status,-,2
3001,TAC,GSM TAC ID,-,3
3002,LAC,GSM LAC ID,-,3
3003,Cell_ID,GSM Cell ID,-,3
3004,RSSI,RSSI,dBm,3
3005,ConnTime,Connection Time,Sec,3
3006,WDS,Connection Type,-,3
4001,Latitude,Latitude,Degree,4
4002,Longitude,Longitude,Degree,4
4003,Altitude,Altitude,m,4
4004,Speed,Speed,m/Sn,4
4005,Head,Heading,Degree,4
4006,H_Acc,Horizontal Accuracy,m,4
4007,V_Acc,Vertical Accuracy,m,4
4008,P_Acc,Position Accuracy,m,4
4009,Fix,Position Fix Type,-,4
5010,AT,Air Temperature,C,5
5019,AT_Daily,Air Temperature Daily Average,C,5
5020,AT_FL,Feel Temperature,C,5
5029,AT_FL_Daily,Feel Temperature Daily Average,C,5
5030,AT_Dew,Dew Point,C,5
5039,AT_Dew_Daily,Dew Point Daily Average,C,5
5040,AH,Air Humidity,%,5
5049,AH_Daily,Air Humidity Daily Average,%,5
5050,AP,Air Pressure,hPa,5
5059,AP_Daily,Air Pressure Daily Average,hPa,5
5060,UV,UV Index,-,5
5070,VL,Visual Light,Lux,5
5080,IL,Infrared Light,Lux,5
5090,ST,Soil Temperature,C,5
5091,ST0,Soil Temperature 10 cm,C,5
5092,ST1,Soil Temperature 20 cm,C,5
5093,ST2,Soil Temperature 30 cm,C,5
5094,ST3,Soil Temperature 40 cm,C,5
5095,ST4,Soil Temperature 50 cm,C,5
5096,ST5,Soil Temperature 60 cm,C,5
5097,ST6,Soil Temperature 70 cm,C,5
5098,ST7,Soil Temperature 80 cm,C,5
5099,ST8,Soil Temperature 90 cm,C,5
5100,SM,Soil Moisture,%,5
5101,SM0,Soil Moisture 10 cm,%,5
5102,SM1,Soil Moisture 20 cm,%,5
5103,SM2,Soil Moisture 30 cm,%,5
5104,SM3,Soil Moisture 40 cm,%,5
5105,SM4,Soil Moisture 50 cm,%,5
5106,SM5,Soil Moisture 60 cm,%,5
5107,SM6,Soil Moisture 70 cm,%,5
5108,SM7,Soil Moisture 80 cm,%,5
5109,SM8,Soil Moisture 90 cm,%,5
5110,SEC,Soil EC,ms/cm,5
5111,SEC0,Soil EC 10 cm,ms/cm,5
5112,SEC1,Soil EC 20 cm,ms/cm,5
5113,SEC2,Soil EC 30 cm,ms/cm,5
5114,SEC3,Soil EC 40 cm,ms/cm,5
5115,SEC4,Soil EC 50 cm,ms/cm,5
5116,SEC5,Soil EC 60 cm,ms/cm,5
5117,SEC6,Soil EC 70 cm,ms/cm,5
5118,SEC7,Soil EC 80 cm,ms/cm,5
5119,SEC8,Soil EC 90 cm,ms/cm,5
5120,SS,Soil Salinity,ppm,5
5121,SS0,Soil Salinity 10 cm,ppm,5
5122,SS1,Soil Salinity 20 cm,ppm,5
5123,SS2,Soil Salinity 30 cm,ppm,5
5124,SS3,Soil Salinity 40 cm,ppm,5
5125,SS4,Soil Salinity 50 cm,ppm,5
5126,SS5,Soil Salinity 60 cm,ppm,5
5127,SS6,Soil Salinity 70 cm,ppm,5
5128,SS7,Soil Salinity 80 cm,ppm,5
5129,SS8,Soil Salinity 90 cm,ppm,5
5130,SWP,Soil Water Potential,kPa,5
5131,SWP0,Soil Water Potential 10 cm,kPa,5
5132,SWP1,Soil Water Potential 20 cm,kPa,5
5133,SWP2,Soil Water Potential 30 cm,kPa,5
5134,SWP3,Soil Water Potential 40 cm,kPa,5
5135,SWP4,Soil Water Potential 50 cm,kPa,5
5136,SWP5,Soil Water Potential 60 cm,kPa,5
5137,SWP6,Soil Water Potential 70 cm,kPa,5
5138,SWP7,Soil Water Potential 80 cm,kPa,5
5139,SWP8,Soil Water Potential 90 cm,kPa,5
5140,R, Rain Tip Counter,-,5
5150,RA,Rain Accumulation,mm,5
5160,WS,Wind Speed,m/Sn,5
5161,WS1,Wind Speed Sensor 1,m/Sn,5
5162,WS2,Wind Speed Sensor 2,m/Sn,5
5163,WS3,Wind Speed Sensor 3,m/Sn,5
5170,WGS,Wind Gust Speed,m/Sn,5
5171,WGS1,Wind Gust Speed Sensor 1,m/Sn,5
5172,WGS2,Wind Gust Speed Sensor 2,m/Sn,5
5173,WGS3,Wind Gust Speed Sensor 3,m/Sn,5
5180,WD,Wind Direction,Degree,5
5190,WC,Wind Chill,C,5
5200,HI,Heat Index,C,5
